Up to date
A,D,B0,B1,B2,Root,Y
277203919154628965857/100000000000000000000,16443095335505021238120798985719/100000000000000000000,14556861599835649349820714653221/100000000000000000000,3279920374168734563388016860037/100000000000000000000,59621057786956112119697882961/625000000000000000,1357432995830481048998933235811/5000000000000000000,459132837279840701220261581170821283107925087979341601/20000000000000000000
52512570765455775631/10000000000000000000,3009666474555343560892097162803/6250000000000000000,8035957725625786473756995268219/100000000000000000000,11558464572255808209967938982349/100000000000000000000,2527993258250737564916170219027/20000000000000000000,16110903308916851061223347400349/50000000000000000000,-2899732534405763402437588764902149715632459184221934183/50000000000000000000
25787891235610426077/20000000000000000000,565528999595366053393768000721/10000000000000000000,1291241519134336997326124237451/20000000000000000000,4242205776560132078110080781297/25000000000000000000,643930433583320172296272633263/5000000000000000000,36064039745997246072614195955737/100000000000000000000,13379962519724816390692911214290012890368268970266885353/50000000000000000000
126250893265389541103/50000000000000000000,9901821506506592542712625370607/100000000000000000000,7844258131917006375193041890407/50000000000000000000,1109690617260357457189491440511/10000000000000000000,4060596693109520549469563863733/20000000000000000000,4702650813382294899819522826517/10000000000000000000,90848717642650506889528470416254571818874224338221395379/100000000000000000000
31942662559682737107/12500000000000000000,654317209570176584353552531157/10000000000000000000,1359326124569101658191171453991/50000000000000000000,2875565071898111883959147429473/20000000000000000000,26316537051860414004219195797/3125000000000000000,1686405910546090745453521286337/10000000000000000000,397796569346931517799624451928078949207298677794246329/100000000000000000000
212575830826016278377/100000000000000000000,4739457770081400008673218289667/25000000000000000000,3975354292526173079390488930633/50000000000000000000,62615253333475032546334668853/6250000000000000000,9218701018005283226329186693507/100000000000000000000,17629532943287053472187852844323/100000000000000000000,-35378529934509509202590219770362734979337988869445827/100000000000000000000
9114662548008862391/3125000000000000000,6728213280272748818180199774407/25000000000000000000,10257247395760925011359397445387/100000000000000000000,8428620536805762497931466627279/50000000000000000000,35328202671956805312204295867/312500000000000000,1919231500235331108582058541617/5000000000000000000,6704896480054989684565165996982074086718125500810738633/100000000000000000000
78557397160066516301/20000000000000000000,2314030011872894007778530212551/3125000000000000000,19651377515471961883334690267/200000000000000000,6080686694916300756067432777541/100000000000000000000,9777391525284545143120951565021/50000000000000000000,35328638243283522769520951560043/100000000000000000000,-1960956175865775852523181700248481816152398503661796973/25000000000000000000
68201683306692741119/100000000000000000000,4860505292434717978696591631503/25000000000000000000,522512930214809198122601764151/100000000000000000000,21312337342524856825036121188169/100000000000000000000,13585390000925032050027071793683/100000000000000000000,14180061034780459914425481288399/50000000000000000000,54215808569713777640001925394218202747431923091175797/25000000000000000000
42135577771819540201/100000000000000000000,20071688256389534470401671275097/50000000000000000000,5642340822880585576111067009809/50000000000000000000,56045947389713440406340121811/781250000000000000,441080450962050990838356789461/5000000000000000000,27181096608561031783816130009879/100000000000000000000,-428518833050769141370935268885022547156850308919062371/100000000000000000000
75197238971365723129/100000000000000000000,804311026188793826409130607473/50000000000000000000,231040261055780898554624318801/100000000000000000000,2056159723885681049486884081597/20000000000000000000,7205618890021689536902009245057/50000000000000000000,18964270004187363176357995527449/100000000000000000000,505346718028291977920251580273113764786098619203694337/50000000000000000000
53218543976825697013/25000000000000000000,17785880220627097914923183737/100000000000000000000,4717207154097703295086902380867/25000000000000000000,15314623466462765871119853405031/100000000000000000000,9662745199852202577940026800651/50000000000000000000,53494718028015871140475376976891/100000000000000000000,48266707266057493577514122053430865121281236457517444598743/50000000000000000000
259984319700545915749/100000000000000000000,2298045864547484805494012879943/10000000000000000000,14984789973205718918094723658773/100000000000000000000,8505182770365534974966340079307/100000000000000000000,54320343633249892508621422283/800000000000000000,30202924769939285873531427897923/100000000000000000000,985568854589648648784207074771135862566421143097787887/50000000000000000000
101933812883964477451/50000000000000000000,3810903152487218276571307117117/25000000000000000000,4478073930914269619366164024377/20000000000000000000,5949425276552498866141117408501/50000000000000000000,108753150406717131436666661097/10000000000000000000,829214366534423107248809165197/2500000000000000000,1061134519271065105377133193406863812754637385066170071/50000000000000000000
242602702469869225947/50000000000000000000,976976930197552328937123326137/5000000000000000000,1572263259231102386026097752621/100000000000000000000,9710971835245484914992367771509/50000000000000000000,10130906106787624375012760571779/50000000000000000000,40352514065018509965389537140943/100000000000000000000,4521457206832069659585387118762117483041245716414258207/50000000000000000000
1676696662116566559/4000000000000000000,9595099605117492191657553615527/100000000000000000000,613029057681807453793558439177/20000000000000000000,8405651025669348228858116891917/100000000000000000000,893740941856888720659007422889/10000000000000000000,19927774919979210392687781508233/100000000000000000000,156723928927083416284724037499938734148483293819546887/50000000000000000000
563457368744426665297/100000000000000000000,13826848873397296231820415363301/100000000000000000000,6420313624617587708321237050409/50000000000000000000,987962273838577685171618598711/4000000000000000000,10751271132656494763976781103537/100000000000000000000,48221860578496560213245143970753/100000000000000000000,129630154701843386951740739895479248135470937948019656919/100000000000000000000
566310150979299870327/100000000000000000000,4113579809874334076136088388851/20000000000000000000,11905661893846468882789402753083/100000000000000000000,85774268410441273683353843689/800000000000000000,13416816794729573942657640521599/100000000000000000000,9010332588686670442377532783109/25000000000000000000,19843618650401915742703286537728587618414438474005165863/100000000000000000000
49221350721233403043/25000000000000000000,4372564574690529700314442616583/25000000000000000000,1790862845934689508662402543361/100000000000000000000,12105481518390042507180407953303/100000000000000000000,541796432705472746728404489477/100000000000000000000,12992370228553777151047263945463/100000000000000000000,-7384431405949674690193995580695776069693012016355669/25000000000000000000
3049959707100952201/12500000000000000000,16839481129099244094993189895587/100000000000000000000,8335792717246135505850401231181/50000000000000000000,9159409398358444809804063693087/50000000000000000000,604356070260948550498244480577/12500000000000000000,37793930468228756465375564841371/100000000000000000000,1457780995380347297157632931844930479334087365998203559/100000000000000000000
192653224924210534157/50000000000000000000,1363008580402899312405954471489/100000000000000000000,672557481463298695442587368781/4000000000000000000,3585063671099382343129152199607/100000000000000000000,1767939037187944441062501780053/12500000000000000000,17147271876250188884069077128471/50000000000000000000,215991345387326297159023814151653007370799553818805986413/100000000000000000000
